title,company,skills,description,other_requirements,job_type,url
Robotics Educator - Fresher,Techyguide OPC Private Limited,Arduino | C Programming | Effective Communication | MS-Office | Python | Teaching | Teamwork,"Are you passionate about robotics and education? Do you have experience with Python, Arduino, C programming, and teaching? Techyguide OPC Private Limited is seeking a dynamic robotics educator to join our team. As a key member of our organization, you will have the opportunity to inspire and educate the next generation of innovators through hands-on robotics projects. Key Responsibilities: 1. Develop and implement robotics curriculum for students of all ages and skill levels. 2. Teach students how to program robots using Python, Arduino, and C programming. 3. Foster a collaborative and engaging learning environment through teamwork and hands-on activities. 4. Provide guidance and support to students as they work on robotics projects. 5. Organize and lead robotics competitions and events to showcase students' achievements. 6. Stay up-to-date on the latest advancements in robotics technology and incorporate them into the curriculum. 7. Utilize MS Office tools to create engaging presentations and materials for students. If you are a creative and enthusiastic individual with a background in robotics and education, we want to hear from you! Join our team and help shape the future of robotics education.",1. Computer science graduate preferred.,python-jobs,https://internshala.com/job/detail/fresher-robotics-educator-job-in-bahraich-at-techyguide-opc-private-limited1769750389
Artificial Intelligence (AI) Specialist,Quantasis Private Limited,Artificial intelligence | Artificial Intelligence Markup Language (AIML) | Generative AI Tools | Python | Vibe Coding,"Role Overview We are looking for a Python Fresher / Junior Developer who is eager to learn and work on real-world applications. This role is ideal for candidates with strong Python fundamentals and basic exposure to web frameworks and GenAI concepts. The candidate will be involved in backend development, API creation, and assisting in AI-driven solutions. Key Responsibilities Write clean, efficient, and maintainable Python code Assist in developing backend applications using Flask / FastAPI Build and consume REST APIs and handle request-response workflows Work with databases to perform CRUD operations Support basic GenAI integrations using APIs (OpenAI or similar) Debug and troubleshoot application issues Collaborate with team members to understand requirements and deliver solutions Continuously learn new tools, frameworks, and technologies as required Required Technical Skills Python Core Python syntax and data types Loops, conditional statements (if-else) Functions and lambda functions Object-Oriented Programming (OOP) concepts Basic error and exception handling","web Development (Python) Basics of Flask / FastAPI Understanding of REST API concepts Routing, request–response handling Working with JSON data Databases Basic SQL concepts CRUD operations Intro-level experience with PostgreSQL / SQL Server GenAI (Basics) Basic understanding of Large Language Models (LLMs), Concepts such as temperature, context window, etc. Prompt engineering fundamentals Experience using AI APIs (OpenAI or similar) Basic AI integration using Python Version Control Git fundamentals: repositories, commits, branches, push/pull",python-jobs,https://internshala.com/job/detail/artificial-intelligence-ai-specialist-job-in-mumbai-at-quantasis-private-limited1771218488
Computer Trainer - Fresher,GTB COMPUTER EDUCATION,C++ Programming | C Programming | Java | PHP | Python,"We are seeking a highly skilled and experienced Computer Trainer to join our team at GTB Computer Education. If you are passionate about coding and have expertise in Python, Java, PHP, C Programming, and C++ Programming, then this is the perfect opportunity for you. Key Responsibilities: 1. Develop and deliver engaging training sessions on Python, Java, PHP, C Programming, and C++ Programming to students of all levels. 2. Create comprehensive learning materials, including tutorials, exercises, and projects to enhance the learning experience. 3. Provide individualized support and guidance to students to help them achieve their coding goals. 4. Stay up-to-date with the latest trends and advancements in programming languages to ensure the training content is current and relevant. 5. Evaluate student progress and provide constructive feedback to help them improve their coding skills. 6. Collaborate with the curriculum development team to continuously enhance the training program. 7. Participate in industry events and conferences to represent GTB Computer Education and network with other professionals in the field. If you are enthusiastic about sharing your knowledge and helping others succeed in the world of programming, then we would love to hear from you. Join us at GTB Computer Education and make a difference in the lives of aspiring coders.",1. Female candidates are preferred.,python-jobs,https://internshala.com/job/detail/fresher-computer-trainer-job-in-jalandhar-at-gtb-computer-education1771566451
Robotics & STEM Engineer (Teaching Role),ROBO-G,Arduino | C Programming | Java | Python,"Key Responsibilities: 1. Develop programs on Arduino, LEGO education, STEM, and robotics 2. Teach science and maths concepts to children aged 4-15 years 3. Create new ideas related to robotics and STEM concepts 4. Conduct workshops 5. Participate in promotional activities of ROBO-G 6. Manage classes and coordinate with parents regarding sessions 7. Prepare and guide students for Robotics Olympiads","1. At least BE, BSC, BCA, CS, BEd or equivalent technical degrees 2. At least one year of experience in teaching children in the age group 4-15 years 3. A good understanding of the education system 4. An excellent communicator 5. Strong interpersonal and presentation skills with all audiences",python-jobs,https://internshala.com/job/detail/robotics-stem-engineer-teaching-role-job-in-bangalore-at-robo-g1769866721
Data Scientist - Fresher,Trivora Systems,Artificial intelligence | Data Analytics | Data Science | Machine Learning | Python | SQL,"As a Data Scientist at Trivora Systems, you will have the opportunity to utilize your expertise in Python, SQL, data analytics, machine learning, data science, and artificial intelligence to drive innovative solutions and impact our business growth. Key Responsibilities: 1. Use advanced statistical and predictive modeling techniques to analyze large datasets and extract actionable insights. 2. Develop and implement machine learning algorithms to optimize business processes and improve decision-making. 3. Collaborate with cross-functional teams to identify opportunities for data-driven improvements and solutions. 4. Design and maintain data pipelines for efficient data extraction, transformation, and loading. 5. Present findings and recommendations to stakeholders in a clear and compelling manner. 6. Stay updated on industry trends and advancements in data science to drive innovation within the company. 7. Continuously evaluate and improve existing models and processes to enhance performance and efficiency. If you are passionate about leveraging data to drive business impact and thrive in a fast-paced, collaborative environment, then we want you to join our team at Trivora Systems. Apply now and be a part of our exciting journey towards data-driven success.",,python-jobs,https://internshala.com/job/detail/fresher-remote-data-scientist-job-at-trivora-systems1772270120
Python Django Developer - Fresher,Altos Technologies,CSS | HTML | JavaScript | MySQL | Python | React,"Key Responsibilities: 1. Develop, test, and maintain scalable web applications. 2. Write clean, efficient, and reusable code using Django and/or React. 3. Collaborate with UI/UX designers and backend developers to implement new features. 4. Debug, troubleshoot, and optimize application performance. 5. Participate in code reviews and contribute to team discussions. 6. Stay updated with the latest web development trends and technologies.",,python-jobs,https://internshala.com/job/detail/fresher-remote-python-django-developer-job-at-altos-technologies1772685234
Software Developer,TalentXO,CSS | HTML | MySQL | Python | React,"Role: Software Engineer - Full Stack Experience: 0-1 Year Education: B.Tech in Computer Science (Highly Preferred) Tech Stack: Python, ReactJS, MySQL Location: HSR Layout, Bengaluru We are looking for a smart, execution-focused Software Engineer who has strong hands-on exposure through projects, internships, or early work experience in building full-stack applications. You will work directly with functional teams (Product, Operations, Business) to understand real business problems and translate them into scalable technical solutions. This role provides deep exposure to building production-grade systems and learning modern development practices using AI-assisted engineering tools. If you enjoy learning fast, building real systems, and taking ownership     this role is for you. Key Responsibilities Product Engineering - Build and maintain full-stack applications using: - Backend: Python - Frontend: ReactJS - Database: MySQL - Design clean APIs, data models, and frontend flows. - Own features end-to-end: requirement understanding     implementation     testing     deployment. Cross-Functional Collaboration - Work closely with functional teams to understand workflows and convert business requirements into technical implementation. - Participate in solution discussions and contribute ideas for improving performance, usability, and scalability. AI-Enabled Development - Use modern AI tools (Claude, Anti-Gravity, Copilot, etc.) to accelerate development, debugging, documentation, and learning. - Experiment with AI workflows to improve engineering productivity and quality. Engineering Practices - Write clean, maintainable, and well-documented code. - Debug production issues and optimize performance. - Learn modern development practices, version control, deployment pipelines, and monitoring. Required Skills     Must Have Strong hands-on experience (projects / internships) with: - Python - ReactJS - MySQL Understanding of: - REST APIs - Frontend state management - Database design basics - Ability to build complete features independently with guidance. - Comfortable using AI tools like Claude / Anti-Gravity / Copilot for development workflows. - Good communication and problem-solving skills. - Passion for learning and ownership mindset. Good To Have - Exposure to cloud platforms (AWS / GCP / Azure) - Familiarity with Git, CI/CD, Docker - Any side projects, open-source contributions, or hackathons - Knowledge of system design fundamentals Who Should Apply - Fresh graduates or engineers with up to 1 year of experience - Strong academic or project background in Computer Science - Curious, self-driven engineers who enjoy solving real-world problems - Builders who want early responsibility and rapid growth What You'll Gain - Real-world experience building production systems - Direct exposure to how software products and businesses are built - Ownership of meaningful features from day one - Mentorship from experienced engineers and business leaders - Hands-on learning with AI-powered engineering tools - Fast career growth based on merit and impact Why Join Us - Be part of a high-ownership engineering culture - Work on impactful products, not just internal tools - Freedom to experiment and innovate - Flexible, performance-driven environment - Learn how technology directly drives business outcomes",,python-jobs,https://internshala.com/job/detail/remote-software-developer-job-at-talentxo1771508417
Python Developer,Stage X,CSS | Django | Flask | HTML | Machine Learning | Python | REST API,"We are looking for a talented Python Developer to join our dynamic team at Stage X company. If you have a strong background in HTML, CSS, Python, Django, Machine Learning, REST API, and Flask, then we want to hear from you! Key Responsibilities: 1. Develop and maintain web applications using Python and Django framework. 2. Implement machine learning algorithms to enhance user experience and drive business growth. 3. Create and optimize REST APIs for seamless communication between different systems. 4. Collaborate with cross-functional teams to design and implement innovative solutions. 5. Troubleshoot and debug issues to ensure smooth functioning of the applications. 6. Stay up-to-date with the latest technologies and trends in the industry. 7. Contribute to the overall success of the company by delivering high-quality code and solutions. If you are passionate about coding and eager to work on challenging projects, then this is the perfect opportunity for you. Join us at Stage X and be a part of a dynamic team that values creativity, innovation, and collaboration. Apply now and take your career to the next level!",,python-jobs,https://internshala.com/job/detail/python-developer-job-in-bhopal-at-stage-x1771931229
Data Analytics Specialist - Fresher,START-UP SAHAY PRIVATE LIMITED,Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau,"Are you a data wizard with a passion for turning raw numbers into insights that drive business decisions? We are looking for a Data Analytics Specialist to join our team at START-UP SAHAY PRIVATE LIMITED. If you have expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, and Tableau, we want to hear from you! Key Responsibilities: 1. Develop and implement data models, dashboards, and reports to support business goals. 2. Analyze data to uncover trends, patterns, and anomalies that can inform strategic decision-making. 3. Collaborate with cross-functional teams to gather requirements and ensure data accuracy. 4. Optimize data collection processes and maintain data integrity within our systems. 5. Communicate complex data findings in a clear and concise manner to stakeholders at all levels. 6. Stay current on industry trends and best practices in data analytics and visualization tools. 7. Drive continuous improvement through identifying opportunities for automation and efficiency in data analysis processes. If you are ready to take your data analytics skills to the next level in a fast-paced startup environment, apply now to join our dynamic team at START-UP SAHAY PRIVATE LIMITED!",,python-jobs,https://internshala.com/job/detail/fresher-data-analytics-specialist-job-in-bangalore-at-start-up-sahay-private-limited1771862811
Associate Content Writer - Fresher,Megaminds IT Services,Algorithms | Analytical Thinking | ChatGPT | Claude | Critical thinking | Data Analysis | English Proficiency (Spoken) | English Proficiency (Written) | LaTeX | Logical reasoning | Python,"Key Responsibilities: 1. Researching the article and writing research articles like Scopus Indexed, SCI, and IEEE conference papers for computer science-related related 2. Proofreading research content related to computer science 3. Building algorithms for research papers 4. Evaluating research content in computer science",,python-jobs,https://internshala.com/job/detail/fresher-remote-associate-content-writer-job-at-megaminds-it-services1772712751
